worldname	numPredators	numPrey	mean_energy
world_2	1	164	92.0
world_3	1	197	91.33333333333333
world_4	1	154	91.0
world_5	1	75	85.6
world_6	1	107	86.16666666666667
world_7	1	136	87.0
world_8	1	169	87.25
world_9	1	55	85.0
world_10	1	107	85.8
world_1	1	51	80.0
world_2	1	129	83.5
world_3	1	157	86.0
world_4	1	87	86.0
world_5	1	5	73.6
world_6	1	137	75.5
world_7	1	86	76.28571428571429
world_8	1	120	77.875
world_9	1	13	71.66666666666667
world_10	1	30	68.9
world_1	1	98	87.0
world_2	1	192	88.5
world_3	1	172	90.0
world_4	1	118	88.75
world_5	1	169	89.0
world_6	1	66	88.33333333333333
world_7	1	128	89.0
world_8	1	70	85.75
world_9	1	146	86.33333333333333
world_10	1	14	79.5
world_1	1	197	92.0
world_2	1	129	89.0
world_3	1	55	85.66666666666667
world_4	1	13	70.25
world_5	1	112	73.6
world_6	1	176	76.66666666666667
world_7	1	162	78.71428571428571
world_8	1	48	76.875
world_9	1	57	77.0
world_10	1	172	78.7
world_1	1	27	47.0
world_2	1	121	66.5
world_3	1	133	75.0
world_4	1	163	79.0
world_5	1	180	82.0
world_6	1	179	84.33333333333333
world_7	1	23	79.14285714285714
world_8	1	126	80.25
world_9	1	35	77.22222222222223
world_10	1	19	74.7
world_1	1	111	86.0
world_2	1	168	90.0
world_3	1	24	82.0
world_4	1	179	84.0
world_5	1	111	83.6
world_6	1	2	70.5
world_7	1	100	72.57142857142857
world_8	1	96	73.875
world_9	1	3	67.33333333333333
world_10	1	195	70.1
world_1	1	136	93.0
world_2	1	30	75.5
world_3	1	157	81.0
world_4	1	191	84.75
world_5	1	83	84.2
world_6	1	62	83.33333333333333
world_7	1	99	83.42857142857143
world_8	1	42	82.5
world_9	1	28	82.33333333333333
world_10	1	188	83.1
world_1	1	19	25.0
world_2	1	43	53.5
world_3	1	171	65.33333333333333
world_4	1	171	71.75
world_5	1	127	75.8
world_6	1	106	77.66666666666667
world_7	1	36	77.57142857142857
world_8	1	160	79.375
world_9	1	117	80.44444444444444
world_10	1	95	81.0
world_1	1	21	69.0
world_2	1	176	82.5
world_3	1	132	84.66666666666667
world_4	1	123	84.75
world_5	1	164	86.4
world_6	1	148	86.33333333333333
world_7	1	200	88.14285714285714
world_8	1	168	89.0
world_9	1	197	89.33333333333333
world_10	1	72	88.8
world_1	1	111	84.0
world_2	1	144	86.5
world_3	1	176	88.0
world_4	1	5	68.5
world_5	1	89	72.4
world_6	1	127	74.66666666666667
world_7	1	56	73.85714285714286
world_8	1	16	68.875
world_9	1	4	63.44444444444444
world_10	1	170	66.1
world_1	1	128	89.0
world_2	1	26	84.0
world_3	1	101	85.33333333333333
world_4	1	196	86.5
world_5	1	134	88.0
world_6	1	160	88.0
world_7	1	14	81.71428571428571
world_8	1	135	82.25
world_9	1	134	83.11111111111111
world_10	1	153	83.5
world_1	1	143	89.0
world_2	1	24	78.0
world_3	1	103	80.0
world_4	1	109	81.5
world_5	1	197	83.8
world_6	1	107	84.16666666666667
world_7	1	5	74.14285714285714
world_8	1	199	76.625
world_9	1	153	78.33333333333333
world_10	1	128	79.2
world_1	1	196	92.0
world_2	1	197	93.5
world_3	1	175	92.33333333333333
world_4	1	26	83.5
world_5	1	10	69.4
world_6	1	187	73.33333333333333
world_7	1	43	71.28571428571429
world_8	1	85	73.25
world_9	1	117	75.0
world_10	1	82	76.3
world_1	1	88	80.0
world_2	1	16	58.0
world_3	1	107	67.66666666666667
world_4	1	23	64.75
world_5	1	83	68.2
world_6	1	6	60.833333333333336
world_7	1	132	64.57142857142857
world_8	1	97	67.5
world_9	1	90	69.55555555555556
world_10	1	115	71.2
world_1	1	141	92.0
world_2	1	70	87.5
world_3	1	5	64.0
world_4	1	127	70.75
world_5	1	19	62.6
world_6	1	186	67.5
world_7	1	59	69.28571428571429
world_8	1	133	71.625
world_9	1	158	73.77777777777777
world_10	1	5	66.9
world_1	1	45	66.0
world_2	1	34	58.5
world_3	1	130	68.66666666666667
world_4	1	16	63.25
world_5	1	1	51.8
world_6	1	138	57.666666666666664
world_7	1	169	61.857142857142854
world_8	1	163	65.5
world_9	1	10	62.22222222222222
world_10	1	81	64.7
world_1	1	35	74.0
world_2	1	128	81.0
world_3	1	100	78.0
world_4	1	196	81.75
world_5	1	97	82.8
world_6	1	167	84.0
world_7	1	157	85.28571428571429
world_8	1	60	82.625
world_9	1	66	82.55555555555556
world_10	1	82	82.1
world_1	1	60	76.0
world_2	1	132	80.5
world_3	1	34	78.66666666666667
world_4	1	36	76.75
world_5	1	156	79.0
world_6	1	175	81.16666666666667
world_7	1	102	82.14285714285714
world_8	1	138	82.625
world_9	1	43	81.11111111111111
world_10	1	120	82.0
world_1	1	132	91.0
world_2	1	85	87.0
world_3	1	150	87.66666666666667
world_4	1	118	87.75
world_5	1	200	89.0
world_6	1	115	88.83333333333333
world_7	1	53	83.14285714285714
world_8	1	189	84.25
world_9	1	128	84.55555555555556
world_10	1	119	84.7
world_1	1	139	91.0
world_2	1	159	90.0
world_3	1	35	84.66666666666667
world_4	1	41	82.5
world_5	1	146	84.4
world_6	1	10	70.83333333333333
world_7	1	79	73.42857142857143
world_8	1	18	68.625
world_9	1	44	67.77777777777777
world_10	1	166	69.8
world_1	1	53	75.0
world_2	1	187	85.0
world_3	1	110	86.0
world_4	1	84	85.75
world_5	1	199	87.2
world_6	1	139	87.66666666666667
world_7	1	60	86.42857142857143
world_8	1	75	86.25
world_9	1	185	86.88888888888889
world_10	1	175	87.6
world_1	1	180	89.0
world_2	1	98	84.5
world_3	1	18	75.0
world_4	1	35	72.5
world_5	1	172	76.4
world_6	1	11	69.66666666666667
world_7	1	164	72.57142857142857
world_8	1	5	63.875
world_9	1	119	66.11111111111111
world_10	1	102	68.1
world_1	1	198	93.0
world_2	1	46	85.5
world_3	1	32	72.66666666666667
world_4	1	125	75.0
world_5	1	90	77.6
world_6	1	38	75.66666666666667
world_7	1	193	78.14285714285714
world_8	1	148	80.0
world_9	1	196	81.55555555555556
world_10	1	81	81.3
world_1	1	158	85.0
world_2	1	133	86.0
world_3	1	126	87.33333333333333
world_4	1	75	87.0
world_5	1	145	86.8
world_6	1	34	79.16666666666667
world_7	1	110	80.57142857142857
world_8	1	104	81.0
world_9	1	21	74.77777777777777
world_10	1	6	70.9
world_1	1	55	72.0
world_2	1	6	45.5
world_3	1	183	61.666666666666664
world_4	1	123	67.75
world_5	1	43	65.6
world_6	1	47	67.33333333333333
world_7	1	77	69.71428571428571
world_8	1	106	71.625
world_9	1	37	71.0
world_10	1	71	72.6
world_1	1	162	91.0
world_2	1	132	90.0
world_3	1	105	89.0
world_4	1	35	84.5
world_5	1	10	74.0
world_6	1	110	77.0
world_7	1	134	78.28571428571429
world_8	1	160	79.875
world_9	1	178	81.55555555555556
world_10	1	188	83.2
world_1	1	138	92.0
world_2	1	33	84.5
world_3	1	181	87.0
world_4	1	79	87.0
world_5	1	52	85.2
world_6	1	63	83.66666666666667
world_7	1	103	83.42857142857143
world_8	1	11	80.375
world_9	1	126	80.77777777777777
world_10	1	82	81.4
world_1	1	36	62.0
world_2	1	126	76.0
world_3	1	191	82.33333333333333
world_4	1	24	78.25
world_5	1	162	81.2
world_6	1	99	82.0
world_7	1	87	83.0
world_8	1	136	84.375
world_9	1	181	85.22222222222223
world_10	1	194	86.2
world_1	1	46	79.0
world_2	1	140	85.5
world_3	1	128	87.33333333333333
world_4	1	136	87.5
world_5	1	149	88.4
world_6	1	65	86.83333333333333
world_7	1	31	84.57142857142857
world_8	1	1	74.375
world_9	1	15	70.88888888888889
world_10	1	94	72.9
world_1	1	181	90.0
world_2	1	45	84.0
world_3	1	110	83.66666666666667
world_4	1	58	79.75
world_5	1	199	82.4
world_6	1	38	80.83333333333333
world_7	1	185	81.85714285714286
world_8	1	82	81.625
world_9	1	175	83.0
world_10	1	192	84.4
world_1	1	27	48.0
world_2	1	166	72.0
world_3	1	16	58.0
world_4	1	21	57.0
world_5	1	161	63.2
world_6	1	38	63.666666666666664
world_7	1	166	66.85714285714286
world_8	1	22	66.5
world_9	1	152	69.11111111111111
world_10	1	148	71.1
world_1	1	41	67.0
world_2	1	109	76.5
world_3	1	42	75.66666666666667
world_4	1	67	78.5
world_5	1	96	80.0
world_6	1	14	74.5
world_7	1	165	77.28571428571429
world_8	1	197	79.25
world_9	1	191	81.0
world_10	1	118	81.4
world_1	1	40	72.0
world_2	1	142	81.0
world_3	1	190	86.33333333333333
world_4	1	1	65.75
world_5	1	114	70.0
world_6	1	118	72.83333333333333
world_7	1	23	72.28571428571429
world_8	1	167	74.125
world_9	1	65	74.66666666666667
world_10	1	25	71.9
world_1	1	82	82.0
world_2	1	29	73.0
world_3	1	4	53.333333333333336
world_4	1	38	59.5
world_5	1	111	64.8
world_6	1	78	67.66666666666667
world_7	1	199	71.42857142857143
world_8	1	150	73.375
world_9	1	176	75.77777777777777
world_10	1	181	77.3
world_1	1	41	76.0
world_2	1	128	81.5
world_3	1	182	85.0
world_4	1	67	84.0
world_5	1	185	86.2
world_6	1	40	82.0
world_7	1	90	82.42857142857143
world_8	1	68	83.0
world_9	1	11	77.55555555555556
world_10	1	66	76.2
world_1	1	31	65.0
world_2	1	173	79.0
world_3	1	198	85.66666666666667
world_4	1	83	86.0
world_5	1	91	85.0
world_6	1	156	85.83333333333333
world_7	1	116	86.0
world_8	1	16	78.625
world_9	1	72	78.77777777777777
world_10	1	112	79.0
world_1	1	134	89.0
world_2	1	174	90.0
world_3	1	70	90.0
world_4	1	12	81.0
world_5	1	2	66.0
world_6	1	43	66.33333333333333
world_7	1	84	67.14285714285714
world_8	1	59	68.5
world_9	1	29	65.77777777777777
world_10	1	131	67.9
world_1	1	92	75.0
world_2	1	37	72.0
world_3	1	23	67.0
world_4	1	200	73.75
world_5	1	126	77.0
world_6	1	92	78.66666666666667
world_7	1	110	79.71428571428571
world_8	1	35	75.875
world_9	1	45	73.88888888888889
world_10	1	15	69.9
world_1	1	42	80.0
world_2	1	177	86.5
world_3	1	79	84.66666666666667
world_4	1	190	87.0
world_5	1	92	86.4
world_6	1	122	85.83333333333333
world_7	1	82	85.42857142857143
world_8	1	140	86.0
world_9	1	3	78.0
world_10	1	80	78.6
world_1	1	101	88.0
world_2	1	135	88.0
world_3	1	84	86.0
world_4	1	91	83.0
world_5	1	49	81.4
world_6	1	73	81.66666666666667
world_7	1	82	81.28571428571429
world_8	1	129	82.625
world_9	1	167	83.77777777777777
world_10	1	152	84.7
world_1	1	114	94.0
world_2	1	51	83.0
world_3	1	54	82.0
world_4	1	107	82.25
world_5	1	50	81.6
world_6	1	162	83.0
world_7	1	34	80.14285714285714
world_8	1	147	81.625
world_9	1	186	83.11111111111111
world_10	1	190	84.2
world_1	1	145	91.0
world_2	1	145	87.5
world_3	1	5	66.66666666666667
world_4	1	132	72.25
world_5	1	94	74.2
world_6	1	185	77.66666666666667
world_7	1	26	76.28571428571429
world_8	1	124	78.0
world_9	1	108	78.88888888888889
world_10	1	96	79.6
world_1	1	39	79.0
world_2	1	198	85.5
world_3	1	41	81.66666666666667
world_4	1	100	82.0
world_5	1	75	82.2
world_6	1	53	80.16666666666667
world_7	1	47	78.14285714285714
world_8	1	80	78.625
world_9	1	33	76.55555555555556
world_10	1	191	78.6
world_1	1	119	87.0
world_2	1	135	88.5
world_3	1	127	87.0
world_4	1	158	88.75
world_5	1	181	89.6
world_6	1	42	86.16666666666667
world_7	1	9	78.0
world_8	1	140	79.5
world_9	1	27	78.0
world_10	1	187	79.5
world_1	1	114	85.0
world_2	1	101	84.5
world_3	1	109	84.66666666666667
world_4	1	55	81.25
world_5	1	146	82.8
world_6	1	199	83.5
world_7	1	84	83.28571428571429
world_8	1	22	76.125
world_9	1	136	77.0
world_10	1	90	77.8
world_1	1	115	85.0
world_2	1	35	71.5
world_3	1	81	74.0
world_4	1	81	77.75
world_5	1	130	80.2
world_6	1	45	81.5
world_7	1	191	82.85714285714286
world_8	1	109	84.25
world_9	1	32	81.11111111111111
world_10	1	119	82.1
world_1	1	172	96.0
world_2	1	134	92.0
world_3	1	147	90.66666666666667
world_4	1	117	89.5
world_5	1	41	83.6
world_6	1	1	70.5
world_7	1	151	73.42857142857143
world_8	1	113	74.875
world_9	1	7	68.55555555555556
world_10	1	200	71.2
world_1	1	105	84.0
world_2	1	84	83.5
world_3	1	172	85.66666666666667
world_4	1	5	69.75
world_5	1	23	67.6
world_6	1	93	70.5
world_7	1	141	72.28571428571429
world_8	1	20	69.375
world_9	1	151	71.66666666666667
world_10	1	41	70.2
world_1	1	132	85.0
world_2	1	180	91.0
world_3	1	6	69.0
world_4	1	34	69.25
world_5	1	40	68.4
world_6	1	132	71.16666666666667
world_7	1	101	73.0
world_8	1	45	73.75
world_9	1	60	74.66666666666667
world_10	1	146	75.9
world_1	1	133	89.0
world_2	1	151	88.0
world_3	1	116	89.33333333333333
world_4	1	145	89.25
world_5	1	185	90.6
world_6	1	131	90.0
world_7	1	50	87.85714285714286
world_8	1	180	88.25
world_9	1	4	80.0
world_10	1	140	81.1
world_1	1	132	84.0
world_2	1	91	82.5
world_3	1	193	86.0
world_4	1	47	84.25
world_5	1	82	83.8
world_6	1	152	85.5
world_7	1	159	86.14285714285714
world_8	1	175	87.5
world_9	1	175	87.44444444444444
world_10	1	66	86.2
world_1	1	46	79.0
world_2	1	119	84.0
world_3	1	4	61.0
world_4	1	53	66.25
world_5	1	198	71.2
world_6	1	19	63.333333333333336
world_7	1	9	59.42857142857143
world_8	1	112	62.25
world_9	1	124	65.22222222222223
world_10	1	6	59.1
world_1	1	40	81.0
world_2	1	115	84.5
world_3	1	169	86.66666666666667
world_4	1	82	85.25
world_5	1	148	86.4
world_6	1	14	79.0
world_7	1	47	76.28571428571429
world_8	1	17	74.25
world_9	1	163	76.11111111111111
world_10	1	25	75.4
world_1	1	91	93.0
world_2	1	91	86.5
world_3	1	88	84.33333333333333
world_4	1	167	86.0
world_5	1	92	86.0
world_6	1	18	79.0
world_7	1	93	79.14285714285714
world_8	1	54	79.625
world_9	1	93	80.22222222222223
world_10	1	185	81.4
world_1	1	177	91.0
world_2	1	172	91.0
world_3	1	60	83.33333333333333
world_4	1	89	82.75
world_5	1	183	84.2
world_6	1	64	84.33333333333333
world_7	1	154	85.57142857142857
world_8	1	46	83.125
world_9	1	112	83.66666666666667
world_10	1	75	83.9
world_1	1	49	44.0
world_2	1	176	69.5
world_3	1	139	76.33333333333333
world_4	1	27	74.25
world_5	1	23	68.4
world_6	1	186	72.33333333333333
world_7	1	30	69.42857142857143
world_8	1	5	64.125
world_9	1	156	66.88888888888889
world_10	1	167	68.7
world_1	1	156	89.0
world_2	1	57	83.0
world_3	1	20	76.66666666666667
world_4	1	113	80.25
world_5	1	69	79.6
world_6	1	191	81.83333333333333
world_7	1	106	82.57142857142857
world_8	1	64	82.125
world_9	1	187	83.33333333333333
world_10	1	21	79.4
world_1	1	112	85.0
world_2	1	99	85.0
world_3	1	170	88.33333333333333
world_4	1	193	89.5
world_5	1	29	82.6
world_6	1	108	82.83333333333333
world_7	1	108	83.71428571428571
world_8	1	119	83.625
world_9	1	152	84.44444444444444
world_10	1	75	83.9
world_1	1	98	80.0
world_2	1	149	82.5
world_3	1	23	71.66666666666667
world_4	1	79	75.0
world_5	1	33	75.2
world_6	1	87	76.16666666666667
world_7	1	16	68.28571428571429
world_8	1	112	70.625
world_9	1	157	72.88888888888889
world_10	1	59	73.8
world_1	1	180	93.0
world_2	1	176	90.5
world_3	1	146	88.33333333333333
world_4	1	70	85.75
world_5	1	74	80.8
world_6	1	180	82.83333333333333
world_7	1	156	83.14285714285714
world_8	1	157	84.25
world_9	1	33	82.22222222222223
world_10	1	172	83.2
world_1	1	108	88.0
world_2	1	189	90.5
world_3	1	142	91.0
world_4	1	188	92.75
world_5	1	18	81.0
world_6	1	8	68.0
world_7	1	18	63.42857142857143
world_8	1	23	62.0
world_9	1	163	65.33333333333333
world_10	1	106	67.3
world_1	1	142	87.0
world_2	1	105	87.5
world_3	1	175	89.66666666666667
world_4	1	39	79.75
world_5	1	61	79.6
world_6	1	138	81.33333333333333
world_7	1	38	76.71428571428571
world_8	1	124	78.375
world_9	1	75	78.77777777777777
world_10	1	38	79.2
world_1	1	55	71.0
world_2	1	35	69.0
world_3	1	102	74.66666666666667
world_4	1	157	79.5
world_5	1	39	76.4
world_6	1	72	77.0
world_7	1	55	74.42857142857143
world_8	1	133	76.125
world_9	1	58	75.55555555555556
world_10	1	143	77.4
world_1	1	18	55.0
world_2	1	65	69.5
world_3	1	196	78.33333333333333
world_4	1	114	80.25
world_5	1	11	70.6
world_6	1	141	73.33333333333333
world_7	1	33	71.28571428571429
world_8	1	95	73.125
world_9	1	8	67.66666666666667
world_10	1	66	69.2
world_1	1	24	48.0
world_2	1	26	60.5
world_3	1	114	70.0
world_4	1	65	70.25
world_5	1	85	72.8
world_6	1	148	77.0
world_7	1	199	79.57142857142857
world_8	1	21	74.0
world_9	1	78	75.22222222222223
world_10	1	101	76.0
world_1	1	113	86.0
world_2	1	86	85.0
world_3	1	50	82.0
world_4	1	21	75.0
world_5	1	121	77.0
world_6	1	154	79.16666666666667
world_7	1	89	79.57142857142857
world_8	1	118	80.5
world_9	1	5	75.77777777777777
world_10	1	30	75.0
world_1	1	76	77.0
world_2	1	70	80.0
world_3	1	34	79.0
world_4	1	10	67.5
world_5	1	147	72.8
world_6	1	121	74.83333333333333
world_7	1	138	76.71428571428571
world_8	1	65	74.5
world_9	1	77	74.77777777777777
world_10	1	120	75.8
world_1	1	30	45.0
world_2	1	174	71.0
world_3	1	102	76.33333333333333
world_4	1	180	80.25
