worldname	numPredators	numPrey	mean_energy
world_4	20	20	66.2280701754386
world_5	16	96	67.20547945205479
world_6	16	75	65.06741573033707
world_7	10	103	68.08080808080808
world_8	5	142	70.41346153846153
world_9	10	22	66.51754385964912
world_10	16	82	65.63846153846154
world_1	19	77	50.21052631578947
world_2	4	195	63.130434782608695
world_3	5	156	73.25
world_4	14	6	51.30952380952381
world_5	18	22	41.11666666666667
world_6	13	191	55.205479452054796
world_7	9	170	62.51219512195122
world_8	2	27	62.45238095238095
world_9	14	135	67.43877551020408
world_10	11	150	71.94495412844037
world_1	11	160	109.9090909090909
world_2	6	93	109.70588235294117
world_3	17	78	82.73529411764706
world_4	19	189	94.20754716981132
world_5	11	13	80.703125
world_6	14	155	85.6025641025641
world_7	14	31	76.8586956521739
world_8	12	194	82.59615384615384
world_9	3	92	83.1214953271028
world_10	4	39	82.64864864864865
world_1	1	94	109.0
world_2	12	120	104.15384615384616
world_3	2	15	97.4
world_4	5	32	83.95
world_5	18	28	53.44736842105263
world_6	14	171	66.46153846153847
world_7	1	39	66.67924528301887
world_8	11	93	69.46875
world_9	16	107	70.325
world_10	20	108	69.51
world_1	20	125	76.75
world_2	6	65	76.1923076923077
world_3	16	57	63.88095238095238
world_4	17	196	79.71186440677967
world_5	15	97	78.52702702702703
world_6	10	135	81.38095238095238
world_7	15	153	85.28282828282828
world_8	8	46	82.59813084112149
world_9	17	71	78.28225806451613
world_10	12	131	80.125
world_1	5	5	11.6
world_2	7	91	61.5
world_3	8	10	43.5
world_4	11	10	32.67741935483871
world_5	13	43	34.63636363636363
world_6	19	12	27.19047619047619
world_7	9	19	26.694444444444443
world_8	12	21	26.047619047619047
world_9	19	81	30.864077669902912
world_10	9	38	32.142857142857146
world_1	20	7	6.4
world_2	2	115	16.545454545454547
world_3	4	131	31.46153846153846
world_4	5	49	39.41935483870968
world_5	5	120	49.44444444444444
world_6	12	17	41.875
world_7	1	125	43.30612244897959
world_8	11	111	52.86666666666667
world_9	13	157	62.57534246575342
world_10	11	86	65.19047619047619
world_1	13	7	8.692307692307692
world_2	10	115	48.52173913043478
world_3	14	48	45.75675675675676
world_4	16	82	50.54716981132076
world_5	20	114	56.16438356164384
world_6	9	156	62.90243902439025
world_7	12	147	69.22340425531915
world_8	15	38	63.99082568807339
world_9	17	158	68.60317460317461
world_10	16	121	70.57042253521126
world_1	12	70	66.33333333333333
world_2	5	69	73.6470588235294
world_3	8	39	68.16
world_4	19	3	40.77272727272727
world_5	17	171	60.32786885245902
world_6	14	65	59.17333333333333
world_7	16	98	61.637362637362635
world_8	17	121	64.87962962962963
world_9	3	34	64.64864864864865
world_10	20	35	58.30534351145038
world_1	6	133	112.33333333333333
world_2	9	70	92.46666666666667
world_3	18	165	102.18181818181819
world_4	5	15	93.26315789473684
world_5	13	18	74.25490196078431
world_6	11	68	71.98387096774194
world_7	18	195	83.25
world_8	20	180	88.57
world_9	15	115	88.18260869565218
world_10	3	78	88.26271186440678
world_1	20	165	100.8
world_2	5	35	92.4
world_3	1	127	93.11538461538461
world_4	19	1	55.06666666666667
world_5	3	164	59.166666666666664
world_6	14	133	68.35483870967742
world_7	19	2	53.22222222222222
world_8	18	101	55.74747474747475
world_9	9	6	51.879629629629626
world_10	6	113	54.55263157894737
world_1	19	123	79.84210526315789
world_2	8	107	88.0
world_3	9	103	90.94444444444444
world_4	19	103	82.67272727272727
world_5	2	134	84.0
world_6	9	153	88.27272727272727
world_7	16	39	76.98780487804878
world_8	13	118	78.90526315789474
world_9	11	57	76.52830188679245
world_10	6	108	78.08035714285714
world_1	2	180	125.0
